Email,Status,Details
user_0_5645@outlook.com,Error,SMTP Connect failed: Error connecting to outlook-com.olc.protection.outlook.com on port 25: [WinError 5] Access is denied
user_1_1271@gmail.com,Error,"SMTP Connect failed: Error connecting to alt1.gmail-smtp-in.l.google.com on port 25: Multiple exceptions: [WinError 5] Access is denied, [WinError 1231] The network location cannot be reached. For information about network troubleshooting, see Windows Help"
user_2_3956@yahoo.com,Error,SMTP Connect failed: Error connecting to mta5.am0.yahoodns.net on port 25: [WinError 5] Access is denied
user_3_4456@nonexistent-xyz-123.com,Invalid,The domain name nonexistent-xyz-123.com does not exist.
user_4_4081@yahoo.com,Error,SMTP Connect failed: Error connecting to mta5.am0.yahoodns.net on port 25: [WinError 5] Access is denied
user_5_7650@yahoo.com,Error,SMTP Connect failed: Error connecting to mta5.am0.yahoodns.net on port 25: [WinError 5] Access is denied
user_6_2308@nonexistent-xyz-123.com,Invalid,The domain name nonexistent-xyz-123.com does not exist.
user_7_4885@gmail.com,Error,"SMTP Connect failed: Error connecting to alt1.gmail-smtp-in.l.google.com on port 25: Multiple exceptions: [WinError 5] Access is denied, [WinError 1231] The network location cannot be reached. For information about network troubleshooting, see Windows Help"
user_8_9050@mailinator.com,Risky,Domain flagged as disposable
user_9_1587@outlook.com,Error,SMTP Connect failed: Error connecting to outlook-com.olc.protection.outlook.com on port 25: [WinError 5] Access is denied
user_10_4061@yahoo.com,Error,SMTP Connect failed: Error connecting to mta5.am0.yahoodns.net on port 25: [WinError 5] Access is denied
user_11_1599@mailinator.com,Risky,Domain flagged as disposable
user_12_9528@gmail.com,Error,"SMTP Connect failed: Error connecting to alt1.gmail-smtp-in.l.google.com on port 25: Multiple exceptions: [WinError 5] Access is denied, [WinError 1231] The network location cannot be reached. For information about network troubleshooting, see Windows Help"
user_13_9571@mailinator.com,Risky,Domain flagged as disposable
user_14_1019@nonexistent-xyz-123.com,Invalid,The domain name nonexistent-xyz-123.com does not exist.
user_15_7233@outlook.com,Error,SMTP Connect failed: Error connecting to outlook-com.olc.protection.outlook.com on port 25: [WinError 5] Access is denied
user_16_3347@gmail.com,Error,"SMTP Connect failed: Error connecting to alt1.gmail-smtp-in.l.google.com on port 25: Multiple exceptions: [WinError 5] Access is denied, [WinError 1231] The network location cannot be reached. For information about network troubleshooting, see Windows Help"
user_17_6301@yahoo.com,Error,SMTP Connect failed: Error connecting to mta5.am0.yahoodns.net on port 25: [WinError 5] Access is denied
user_18_1470@outlook.com,Error,SMTP Connect failed: Error connecting to outlook-com.olc.protection.outlook.com on port 25: [WinError 5] Access is denied
user_19_8222@mailinator.com,Risky,Domain flagged as disposable
user_20_9788@mailinator.com,Risky,Domain flagged as disposable
user_21_6669@nonexistent-xyz-123.com,Invalid,The domain name nonexistent-xyz-123.com does not exist.
user_22_8650@nonexistent-xyz-123.com,Invalid,The domain name nonexistent-xyz-123.com does not exist.
user_23_5480@mailinator.com,Risky,Domain flagged as disposable
user_24_9586@mailinator.com,Risky,Domain flagged as disposable
user_25_6293@mailinator.com,Risky,Domain flagged as disposable
user_26_2008@mailinator.com,Risky,Domain flagged as disposable
user_27_6263@outlook.com,Error,SMTP Connect failed: Error connecting to outlook-com.olc.protection.outlook.com on port 25: [WinError 5] Access is denied
user_28_7786@mailinator.com,Risky,Domain flagged as disposable
user_29_6158@yahoo.com,Error,SMTP Connect failed: Error connecting to mta5.am0.yahoodns.net on port 25: [WinError 5] Access is denied
user_30_8354@nonexistent-xyz-123.com,Invalid,The domain name nonexistent-xyz-123.com does not exist.
user_31_7812@nonexistent-xyz-123.com,Invalid,The domain name nonexistent-xyz-123.com does not exist.
user_32_5250@gmail.com,Error,"SMTP Connect failed: Error connecting to alt1.gmail-smtp-in.l.google.com on port 25: Multiple exceptions: [WinError 5] Access is denied, [WinError 1231] The network location cannot be reached. For information about network troubleshooting, see Windows Help"
user_33_6533@nonexistent-xyz-123.com,Invalid,The domain name nonexistent-xyz-123.com does not exist.
user_34_7733@outlook.com,Error,SMTP Connect failed: Error connecting to outlook-com.olc.protection.outlook.com on port 25: [WinError 5] Access is denied
user_35_6726@yahoo.com,Error,SMTP Connect failed: Error connecting to mta5.am0.yahoodns.net on port 25: [WinError 5] Access is denied
user_36_3457@yahoo.com,Error,SMTP Connect failed: Error connecting to mta5.am0.yahoodns.net on port 25: [WinError 5] Access is denied
user_37_3076@gmail.com,Error,"SMTP Connect failed: Error connecting to alt1.gmail-smtp-in.l.google.com on port 25: Multiple exceptions: [WinError 5] Access is denied, [WinError 1231] The network location cannot be reached. For information about network troubleshooting, see Windows Help"
user_38_2348@nonexistent-xyz-123.com,Invalid,The domain name nonexistent-xyz-123.com does not exist.
user_39_1947@outlook.com,Error,SMTP Connect failed: Error connecting to outlook-com.olc.protection.outlook.com on port 25: [WinError 5] Access is denied
user_40_5267@outlook.com,Error,SMTP Connect failed: Error connecting to outlook-com.olc.protection.outlook.com on port 25: [WinError 5] Access is denied
user_41_9591@mailinator.com,Risky,Domain flagged as disposable
user_42_2176@outlook.com,Error,SMTP Connect failed: Error connecting to outlook-com.olc.protection.outlook.com on port 25: [WinError 5] Access is denied
user_43_8341@yahoo.com,Error,SMTP Connect failed: Error connecting to mta5.am0.yahoodns.net on port 25: [WinError 5] Access is denied
user_44_9710@nonexistent-xyz-123.com,Invalid,The domain name nonexistent-xyz-123.com does not exist.
user_45_3865@outlook.com,Error,SMTP Connect failed: Error connecting to outlook-com.olc.protection.outlook.com on port 25: [WinError 5] Access is denied
user_46_6747@mailinator.com,Risky,Domain flagged as disposable
user_47_9892@nonexistent-xyz-123.com,Invalid,The domain name nonexistent-xyz-123.com does not exist.
user_48_1380@gmail.com,Error,"SMTP Connect failed: Error connecting to alt1.gmail-smtp-in.l.google.com on port 25: Multiple exceptions: [WinError 5] Access is denied, [WinError 1231] The network location cannot be reached. For information about network troubleshooting, see Windows Help"
user_49_2755@mailinator.com,Risky,Domain flagged as disposable
user_50_5051@gmail.com,Error,"SMTP Connect failed: Error connecting to alt1.gmail-smtp-in.l.google.com on port 25: Multiple exceptions: [WinError 5] Access is denied, [WinError 1231] The network location cannot be reached. For information about network troubleshooting, see Windows Help"
user_51_5561@mailinator.com,Risky,Domain flagged as disposable
user_52_6865@nonexistent-xyz-123.com,Invalid,The domain name nonexistent-xyz-123.com does not exist.
user_53_4371@outlook.com,Error,SMTP Connect failed: Error connecting to outlook-com.olc.protection.outlook.com on port 25: [WinError 5] Access is denied
user_54_1329@mailinator.com,Risky,Domain flagged as disposable
user_55_7053@nonexistent-xyz-123.com,Invalid,The domain name nonexistent-xyz-123.com does not exist.
user_56_3563@yahoo.com,Error,SMTP Connect failed: Error connecting to mta5.am0.yahoodns.net on port 25: [WinError 5] Access is denied
user_57_9823@gmail.com,Error,"SMTP Connect failed: Error connecting to alt1.gmail-smtp-in.l.google.com on port 25: Multiple exceptions: [WinError 5] Access is denied, [WinError 1231] The network location cannot be reached. For information about network troubleshooting, see Windows Help"
user_58_7303@nonexistent-xyz-123.com,Invalid,The domain name nonexistent-xyz-123.com does not exist.
user_59_2824@mailinator.com,Risky,Domain flagged as disposable
user_60_3462@outlook.com,Error,SMTP Connect failed: Error connecting to outlook-com.olc.protection.outlook.com on port 25: [WinError 5] Access is denied
user_61_5240@nonexistent-xyz-123.com,Invalid,The domain name nonexistent-xyz-123.com does not exist.
user_62_6760@gmail.com,Error,"SMTP Connect failed: Error connecting to alt1.gmail-smtp-in.l.google.com on port 25: Multiple exceptions: [WinError 5] Access is denied, [WinError 1231] The network location cannot be reached. For information about network troubleshooting, see Windows Help"
user_63_9284@outlook.com,Error,SMTP Connect failed: Error connecting to outlook-com.olc.protection.outlook.com on port 25: [WinError 5] Access is denied
user_64_4136@nonexistent-xyz-123.com,Invalid,The domain name nonexistent-xyz-123.com does not exist.
user_65_1186@outlook.com,Error,SMTP Connect failed: Error connecting to outlook-com.olc.protection.outlook.com on port 25: [WinError 5] Access is denied
user_66_2925@yahoo.com,Error,SMTP Connect failed: Error connecting to mta5.am0.yahoodns.net on port 25: [WinError 5] Access is denied
